% Model:              PAPER2EXA1V2.mph
% Version:            COMSOL 6.0.0.318
% Date:               Apr 24 2024, 18:02
% Table:              探针表 1 - 
% 时间 (d)                                          边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S12Bou (MPa), S12
0                                                 -9.145202447902864E-6                             2.3822901922820883E-6                             0.6053932960040295
0.05                                              -9.14493696180508E-6                              2.3895357745273946E-6                             0.6046747500304697
0.1                                               -9.145601819364955E-6                             2.404900266650404E-6                              0.6039596434317387
0.2                                               -9.145993834878297E-6                             2.4272483453158283E-6                             0.6025401203024914
0.4                                               -9.146755848987937E-6                             2.471168764006643E-6                              0.5997429042540888
0.8                                               -9.148194098697933E-6                             2.5559778235595384E-6                             0.5943119873345116
1.6                                               -9.150740974847581E-6                             2.714016889171472E-6                              0.5840748187776023
3.2                                               -9.15462068104285E-6                              2.987863716996674E-6                              0.5658806414616451
4.8                                               -9.171269224174034E-6                             3.3326593448235496E-6                             0.5503508856801687
6.4                                               -9.186514564044399E-6                             3.632021456145825E-6                              0.5370964369754241
8                                                 -9.200429702747548E-6                             3.891925787480363E-6                              0.5257838227749639
11.2                                              -9.19520668967422E-6                              4.070949276346854E-6                              0.5078921597051737
14.4                                              -9.21401316689897E-6                              4.38576534914082E-6                               0.49485012871662026
17.6                                              -9.230115202205922E-6                             4.623154029215244E-6                              0.48535761029707425
22.6                                              -9.217641423059466E-6                             4.631288863354822E-6                              0.4754099866062711
27.002307134128248                                -9.239295604803082E-6                             4.860874153272964E-6                              0.4699188472008887
31.404614268256495                                -9.21617246706449E-6                              4.704979781444687E-6                              0.4663666367586983
35.806921402384745                                -9.254604256169762E-6                             5.0319603373538614E-6                             0.4640665939166403
40.20922853651299                                 -9.258833237697225E-6                             5.077971143824252E-6                              0.4625783467212394
45.20922853651299                                 -9.252228601667607E-6                             5.0313124467793745E-6                             0.4615167648269737
50.20922853651299                                 -9.254635304461795E-6                             5.0534108342048675E-6                             0.4608683500588577
