% Model:              PAPER2EXA3E11_V10_general.mph
% Version:            COMSOL 6.0.0.318
% Date:               Dec 10 2024, 09:16
% Table:              探针表 1 - 
% 时间 (min)                                        边界积分 (MPa), S11                                   S22Bou (MPa), S22                                 S33Bou (MPa), S33                                 S12Bou (MPa), S12                                 S23Bou (MPa), S23                                 S13Bou (MPa), S13
0                                                 6.824769711885993                                 2.9201326340541303                                2.920291845409922                                 -3.3630681430239704E-5                            -5.383966513172932E-6                             -2.6150473604034817E-5
0.15                                              6.798843117535778                                 2.908918117378334                                 2.909076967825156                                 -3.341715121090392E-5                             -5.3645694888187206E-6                            -2.5957720096646797E-5
0.3                                               6.77301227006977                                  2.8977405656803374                                2.8978993103728086                                -3.3116767706150054E-5                            -5.3542088422498425E-6                            -2.567028874406603E-5
0.6                                               6.721647381686034                                 2.875520043457888                                 2.8756783239983257                                -3.260711423417732E-5                             -5.324691784198469E-6                             -2.5194133557815824E-5
1.2                                               6.620083374207867                                 2.831588393184072                                 2.831745752880478                                 -3.16004575757476E-5                              -5.266371265686926E-6                             -2.4253788746252563E-5
2.4                                               6.421536524691556                                 2.7457265030102342                                2.745882050369659                                 -2.9636845940044504E-5                            -5.152524868223947E-6                             -2.2420110755341573E-5
4.8                                               6.042130384782005                                 2.581727256703717                                 2.581879292934328                                 -2.590143157181587E-5                             -4.935555449142288E-6                             -1.893418212625199E-5
9.6                                               5.349251862072995                                 2.2825029770964016                                2.2826484162417096                                -1.9144907758730358E-5                            -4.541106989874995E-6                             -1.2637958980315726E-5
14.4                                              4.735793894084073                                 2.017837181594615                                 2.0179802739044717                                -1.1954388128486672E-5                            -4.307895006820746E-6                             -5.74458786876154E-6
19.2                                              4.192683884398651                                 1.7838115303723507                                1.783952615809699                                 -5.563348904387251E-6                             -4.102653734003143E-6                             3.881056400735515E-7
24                                                3.711853255141011                                 1.5768796950764588                                1.57701906683083                                  1.1709947909334254E-7                             -3.922030492564885E-6                             5.844038836731291E-6
33.6                                              2.909373058418422                                 1.232287429577325                                 1.2324166943600452                                7.082895180306497E-6                              -3.426359407942053E-6                             1.2209813113035151E-5
43.2                                              2.2803084926315726                                0.9627362992887232                                0.9628635819839668                                1.460386265454195E-5                              -3.2045374621052618E-6                            1.9453765976263627E-5
51.84                                             1.8312881856798786                                0.7707795650792091                                0.7709069912503409                                2.0514095134126102E-5                             -3.0831417865229886E-6                            2.5220400863483042E-5
60.480000000000004                                1.4706625782132683                                0.616993008387245                                 0.6171194830587781                                2.4890301210574573E-5                             -2.9580126680740558E-6                            2.9450134154303874E-5
69.11999999999999                                 1.1810174902799453                                0.49376654506169104                               0.4938923272150158                                2.8429989104325986E-5                             -2.8586769038563105E-6                            3.287693099668967E-5
77.75999999999999                                 0.9483790678462882                                0.3950288686631412                                0.39515415275436505                               3.129307542947951E-5                              -2.7798434088098973E-6                            3.5653194848050006E-5
86.39999999999999                                 0.761487492758047                                 0.31603087191960016                               0.3161517043988369                                3.218255331904376E-5                              -2.6280947654758426E-6                            3.634302904363586E-5
95.03999999999998                                 0.6113805821184741                                0.2525402320053511                                0.2526649286176453                                3.548649623772211E-5                              -2.667765553395812E-6                             3.972970312612431E-5
103.67999999999998                                0.49084980048170096                               0.20174574995442987                               0.2018702783613894                                3.700069137822859E-5                              -2.62817520557174E-6                              4.1204866171886285E-5
112.31999999999996                                0.3940290532809538                                0.16105150171619492                               0.16117592108304715                               3.8225598717579204E-5                             -2.5972111390244764E-6                            4.240008331874313E-5
120.95999999999997                                0.3162684261652974                                0.128443342784476                                 0.12856769391509756                               3.9216188000579736E-5                             -2.5722309698591846E-6                            4.3368151911823624E-5
128.73599999999996                                0.2594420337992096                                0.10464679913088751                               0.10477244575769352                               4.040854109431209E-5                              -2.5815840127358273E-6                            4.458856956735446E-5
136.51199999999997                                0.21279745650012785                               0.08517921875483185                               0.0853048479155729                                4.1010676761363084E-5                             -2.5667678123694832E-6                            4.5178750400365645E-5
144.28799999999998                                0.17449530901618893                               0.06923477040929826                               0.06936039507525192                               4.1508244971208245E-5                             -2.55500620794866E-6                              4.566711503270997E-5
152.06399999999996                                0.1430534168452097                                0.05617172059169613                               0.05629734851175529                               4.191921542360933E-5                              -2.545136396740761E-6                             4.6071025194150775E-5
